iteration 1 max error 11.488971 
iteration 2 max error 7.133656 
iteration 3 max error 6.329475 
-24.9521 -22.7177 -20.9695   -19.43 -18.0395
-23.7121  -21.763 -20.1319  -18.688 -17.3734
-22.6358 -20.8883 -19.3504 -17.9623 -16.7258
-21.6979 -20.0665 -18.6154 -17.3023 -16.0951
-20.8305 -19.2916 -17.9034 -16.6607 -15.5187
-20.0213 -18.5628 -17.2491 -16.0421 -14.9534
-19.2523 -17.8619  -16.613 -15.4706 -14.4144
-18.5292 -17.2128 -16.0041 -14.9101 -13.9113
-17.8369 -16.5816 -15.4371 -14.3796 -13.4179
-17.1926 -15.9803  -14.881 -13.8805 -12.9545
 -16.566 -15.4175 -14.3573 -13.3909 -12.5123
-15.9703 -14.8654 -13.8618 -12.9335 -12.0811
-15.4114 -14.3468 -13.3757 -12.4945 -11.6806
 -14.863 -13.8546 -12.9229 -12.0664 -11.2902
-14.3478 -13.3718 -12.4868   -11.67 -10.9121
-13.8588 -12.9222 -12.0616 -11.2823 -10.5619
 -13.379 -12.4889 -11.6681 -10.9067 -10.2185
-12.9313 -12.0663 -11.2828 -10.5589 -9.88563
-12.5006 -11.6748 -10.9096 -10.2178  -9.5747
-12.0805 -11.2917  -10.564 -9.88707 -9.27477
-11.6897 -10.9206 -10.2245 -9.57813 -8.98073
-11.3087 -10.5772 -9.89563 -9.27964 -8.70381
-10.9397 -10.2383 -9.58856  -8.9873 -8.44012
-10.5971 -9.91122 -9.29075 -8.71203 -8.18013
-10.2591  -9.6059       -9  -8.4497 -7.93277
 -9.9338 -9.30804 -8.72628 -8.19046 -7.69842
-9.63013  -9.0188 -8.46404 -7.94448 -7.46937
 -9.3315 -8.74653 -8.20613 -7.71145 -7.24781
-9.04368 -8.48376 -7.96143 -7.48243  -7.0389
-8.77279  -8.2271 -7.72965 -7.26202 -6.83634
-8.50888 -7.98363 -7.50015 -7.05421 -6.63736Iterations took: 0.01s
Final part took: 0.00s
